Blake Snell,MLB,ClassiclyFamous,1.467,1.8330683708190918,1.8849372384937237,31.0
Gleyber Torres,MLB,TorresG#9755591,0.692,1.1351547241210938,1.308160547840974,93.0
Alex Bregman,MLB,ABREGGY2#1657570,0,0.0,0.5538461538461539,0.0
Pete Alonso,MLB,pmalonso20#5702019,0,0.9541111588478088,0.8542993630573248,9.0
Leonard Fournette,NFL,BN717groove#5938069,0.692,1.0124561786651611,0.9500718390804598,27.0
Trevor May,MLB,IamTrevorMay#1230623,1.23,0.7560775876045227,1.0122448979591836,14.0
Bryce Harper,MLB,BHarper3#9512794,0,0.25,0.25,0.0
Bo Bichette,MLB,Boflows#8607467,0.647,0.8239675164222717,0.7468879668049793,3.0
Lucas Giolito,MLB,ElJefeGio#2147434,1.165,1.4525858163833618,2.1382604323780794,118.0
Jeff McNeil,MLB,JMcNeil805#5483768,0,0.5137614607810974,0.3937007874015748,1.0
Odell Beckham Jr,NFL,BummbaahClottt3#4607007,0,1.0747655630111694,1.1405955522050508,212.0
JuJu Smith-Schuster,NFL,SteelersJuJu19#3199938,1.275,1.4077051877975464,1.7537608867775138,20.0
Kyler Murray,NFL,K1#1920721,1.485,1.453278660774231,1.6051059206952742,23.0
Mike Evans,NFL,mikeevans114#7235994,0,1.0160791873931885,1.117304492512479,32.0
Baker Mayfield,NFL,BBHBake#6956932,0,1.5745620727539062,1.7715917201998572,91.0
Rob Gronkowski,NFL,HammeredPenny78#6038011,0,0.0,0.2608695652173913,1.0
Derek Carr,NFL,BruceWayne661,0,1.28389310836792,1.2380952380952381,10.0
Richard Sherman,NFL,MrRUNnGUN25#7819937,0,0.9919752478599548,1.0866526904262754,22.0
Paul George,NBA,PackCEO13#1564129,0,0.5709205269813538,0.4594594594594595,1.0
Tarik Cohen,NFL,Criminal#5371771 ,1.465,2.9995594024658203,3.288047705470573,168.0
Karl Anthony-Towns,NBA,NotKittenAround#6581128,0.428,0.8804864883422852,0.6198125836680054,10.0
Devin Booker,NBA,dbook#9465607,1.562,2.0088319778442383,2.6036290322580644,158.0
Josh Hart,NBA,Jhart3#5562841,0.947,1.2258449792861938,1.565772669220945,78.0
Ben Simmons,NBA,BEN#3377843,1.885,2.196676015853882,2.859092036715455,135.0
Meyers Leonard,NBA,HAMMER#1330018,0.481,0.8221343755722046,0.6607608129233976,3.0
